experiment_id;cell_type;structure;modality;pixel_size_xy;pixel_size_z;xy_upsample_seg;condition;minipipeline;force_single_scene;raw_name;raw_path;seg_path
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-15-P83-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-16-P79-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-17-P67-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-18-P82-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-19-P66-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20181012_R02;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;yes;20181012_R02-Scene-20-P80-B03.czi;/allen/aics/assay-dev/MicroscopyOtherData/Liya/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/
20180924_R04;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;no;no;20180924_R04.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20180924;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/
20181005_R01_001;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;no;no;20181005_R01_001.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181005;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181005_R01_001/shape/
20181005_R01_002;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;no;no;20181005_R01_002.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181005;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181005_R01_002/shape/
20181005_R01_003;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;no;no;20181005_R01_003.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181005;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181005_R01_003/shape/
20181026_R01;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;no;20181026_R01.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181026;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181026_R01/shape/
